galaxy,n,wrms_M0,aicc_M0,bic_M0,wrms_M1,aicc_M1,bic_M1,wrms_M2,aicc_M2,bic_M2,wrms_M3,aicc_M3,bic_M3,winner,dBIC_second_minus_best,dBIC_M2_minus_M0,dBIC_M3_minus_M0,cv_wrms_M0,cv_wrms_M1,cv_wrms_M2,cv_wrms_M3
NGC3992_rotmod,9,21.47969782346633,113.92495215500809,112.31940130968053,4.795787850600769,11.38003940085017,9.774488555522609,6.407766717464435,19.61728699960608,18.01173615427852,44.266139676269965,458.362236756435,458.362236756435,M1,8.23724759875591,-94.307665155402,346.04283544675445,19.779058266899312,5.142565276868881,7.012565764482685,44.014109419203486
NGC4010_rotmod,12,8.714276320127823,37.839422711883465,37.47590267812613,8.91747158220339,39.373018886103765,39.00949885234643,12.028731310395724,76.08644302060064,75.72292298684332,33.368712661922615,476.62956300419387,476.62956300419387,M0,1.5335961742202997,38.24702030871718,439.1536603260677,9.048017532510254,9.225727714157271,12.472263604430161,33.64374497669543
NGC4013_rotmod,36,19.40448517867097,540.7875059307476,543.5909074440234,19.897612330776653,568.3982741016698,571.2016756149457,24.74952012832879,905.4239066431853,908.2273081564612,56.930567969582135,4617.372137414783,4617.372137414783,M0,27.610768170922256,364.63640071243776,4073.7812299707593,19.290903700631617,19.539294339149034,24.545017402159356,56.488343796230936
NGC4051_rotmod,7,9.011500040764256,17.558796428882452,14.45061672699308,28.381410224978804,111.73411828567373,108.62593858378436,31.3134723382705,138.03877815382899,134.9305984519396,71.69281936826131,668.3001492970985,668.3001492970985,M0,94.17532185679129,120.47998172494653,653.8495325701055,10.277792134272,25.435411667198245,28.836900301083073,68.5699145891184
NGC4068_rotmod,6,0.9420157831220333,8.473321454459256,4.056840392915366,2.8635295567153127,12.373641402718695,7.957160341174805,5.788288809072235,33.989630608406564,29.573149546862673,17.274382448410723,159.16401750392865,159.16401750392865,M0,3.9003199482594386,25.516309153947308,155.10717711101327,0.848843920302149,2.7999269797031987,5.324003548248757,17.186488483246375
NGC4085_rotmod,7,9.412218527539224,26.883996949685134,23.77581724779576,31.25324725022507,226.23504591138072,223.12686620949134,33.1010133448257,264.7480023312953,261.63982262940596,57.60457774171331,744.7897294162714,744.7897294162714,M0,199.35104896169557,237.86400538161018,721.0139121684756,10.808673623031956,30.455498932433272,32.69460446044561,57.09043642797676
NGC4088_rotmod,12,14.729435302454712,57.296873171595685,56.93335313783835,50.840299514836126,624.4075756378767,624.0440556041193,52.666907448333966,677.8103199617348,677.4467999279774,98.84636478452889,2340.172859225212,2340.172859225212,M0,567.1107024662809,620.513446790139,2283.2395060873737,13.769339404334255,50.82252524467116,52.74806796892135,98.80186082744007
NGC4100_rotmod,24,16.86119311143444,218.52214591954305,220.30682500881036,9.242858549246852,68.86236560873202,70.64704469799935,9.931971667802506,88.77833887105997,90.5630179603273,38.41630149333262,1110.6270437897133,1110.6270437897133,M1,19.915973262327952,-129.74380704848306,890.3202187809029,16.843978719809424,9.36451928169247,10.103961961009416,38.44591795916891
NGC4138_rotmod,7,28.626389794523092,52.323682316307504,49.21550261441813,15.98811125909408,21.137946998281222,18.02976729639185,18.745347513111025,26.785652812201032,23.67747311031166,40.859859886630204,92.33912857810826,92.33912857810826,M1,5.64770581391981,-25.53802950410647,43.12362596369013,29.33038615495142,13.771352794035835,13.252452813371509,41.51003264588419
NGC4157_rotmod,17,16.03923601399549,79.5916128181066,80.40089664907617,33.08374686678764,322.82482514946946,323.63410898043907,35.74945313346802,379.67617067990346,380.48545451087307,75.36102724188282,1649.8604887826148,1649.8604887826148,M0,243.2332123313629,300.0845578617969,1569.4595921335385,15.624166598120661,33.21429987885031,35.93517396269372,75.57643653135673
NGC4183_rotmod,23,7.354827407380772,44.88514090564806,46.556129337506356,2.86446198336908,10.710630746585354,12.381619178443653,2.522933614832899,10.721171541191506,12.392159973049806,25.592115925787922,487.7668758284895,487.7668758284895,M1,0.010540794606152204,-34.16396936445655,441.2107464909831,7.217575193745546,3.0230643907351173,2.8916395796395755,25.57126143119422
NGC4214_rotmod,14,2.4755110410496965,7.460104839390705,7.647310407712132,4.615150388868514,13.325516984177728,13.512722552499152,4.75322384033018,13.893457717848893,14.080663286170317,6.683375334396361,17.26882992657657,17.26882992657657,M0,5.865412144787021,6.4333528784581855,9.621519518864437,2.631852977859322,5.187929502542295,3.908226698989459,6.396428674396125
NGC4217_rotmod,19,19.24513111574808,156.16402006773342,157.3028980260663,62.44312552675461,1598.7694191267233,1599.9082970850561,63.16652205934196,1652.9831357966464,1654.1220137549792,87.97867049514916,3164.3107833379922,3164.3107833379922,M0,1442.6053990589899,1496.819115728913,3007.0078853119257,19.132136176065053,62.47980407169621,63.32519092720717,88.13073307473988
